features,run_id,MAE,DenormMAE,MSE,DenormMSE,RMSE,DenormRMSE
occrate_avgocc_coursenumber_dow_hod_tutorium_test_cancelled_registered_studyarea,2,0.01696,2.688735,0.002566,65.69331,0.021459,3.398641
occrate_avgocc_coursenumber_dow_hod_tutorium_test_cancelled_registered_studyarea,3,0.015429,2.450152,0.00227,58.417564,0.019849,3.150884
occrate_avgocc_coursenumber_dow_hod_tutorium_test_cancelled_registered_studyarea,4,0.015904,2.530224,0.002302,59.424706,0.020387,3.241134
occrate_avgocc_coursenumber_dow_hod_tutorium_test_cancelled_studyarea,0,0.016272,2.58452,0.002464,63.36075,0.020871,3.313852
occrate_avgocc_coursenumber_dow_hod_tutorium_test_cancelled_studyarea,1,0.016245,2.584556,0.002466,63.628365,0.020817,3.309674
occrate_avgocc_coursenumber_dow_hod_tutorium_test_cancelled_studyarea,2,0.016182,2.573268,0.00248,64.0131,0.020683,3.28801
occrate_avgocc_coursenumber_dow_hod_tutorium_test_cancelled_studyarea,3,0.015608,2.481807,0.002294,59.072296,0.020188,3.208492
occrate_avgocc_coursenumber_dow_hod_tutorium_test_cancelled_studyarea,4,0.016965,2.695894,0.002617,67.545425,0.021673,3.442927
occrate_avgocc_coursenumber_dow_hod_tutorium_test_cancelled_type,0,0.015075,2.392246,0.001967,50.348244,0.019717,3.129
occrate_avgocc_coursenumber_dow_hod_tutorium_test_cancelled_type,1,0.015567,2.47126,0.002241,57.56618,0.02005,3.183095
occrate_avgocc_coursenumber_dow_hod_tutorium_test_cancelled_type,2,0.015341,2.438822,0.002063,52.944656,0.019848,3.15386
occrate_avgocc_coursenumber_dow_hod_tutorium_test_cancelled_type,3,0.016048,2.54928,0.00215,55.219715,0.020721,3.291856
occrate_avgocc_coursenumber_dow_hod_tutorium_test_cancelled_type,4,0.015383,2.443714,0.002077,53.216988,0.019873,3.156706
occrate_avgocc_coursenumber_dow_hod_tutorium_test_cancelled_type_lecture,0,0.015465,2.457366,0.002092,53.661198,0.0201,3.193206
occrate_avgocc_coursenumber_dow_hod_tutorium_test_cancelled_type_lecture,1,0.014776,2.347355,0.001965,50.397835,0.019217,3.052256
occrate_avgocc_coursenumber_dow_hod_tutorium_test_cancelled_type_lecture,2,0.014516,2.304149,0.001977,50.68981,0.018784,2.982436
occrate_avgocc_coursenumber_dow_hod_tutorium_test_cancelled_type_lecture,3,0.016176,2.571071,0.002274,58.46335,0.020774,3.300594
occrate_avgocc_coursenumber_dow_hod_tutorium_test_cancelled_type_lecture,4,0.014688,2.325152,0.001836,46.68856,0.018956,3.00145
occrate_avgocc_coursenumber_dow_hod_tutorium_test_cancelled_type_lecture_studyarea,0,0.015623,2.48331,0.002175,55.892822,0.019946,3.169838
occrate_avgocc_coursenumber_dow_hod_tutorium_test_cancelled_type_lecture_studyarea,1,0.015635,2.476093,0.002168,55.046726,0.020277,3.21148
occrate_avgocc_coursenumber_dow_hod_tutorium_test_cancelled_type_lecture_studyarea,2,0.015866,2.515908,0.002194,55.947884,0.020518,3.252877
occrate_avgocc_coursenumber_dow_hod_tutorium_test_cancelled_type_lecture_studyarea,3,0.017254,2.741868,0.00247,63.573116,0.022023,3.497776
occrate_avgocc_coursenumber_dow_hod_tutorium_test_cancelled_type_lecture_studyarea,4,0.016057,2.547468,0.002226,57.07935,0.020395,3.235142
occrate_avgocc_coursenumber_dow_hod_tutorium_test_cancelled_type_registered,0,0.01503,2.381593,0.002074,52.86909,0.019242,3.04912
occrate_avgocc_coursenumber_dow_hod_tutorium_test_cancelled_type_registered,1,0.014866,2.35821,0.001915,48.847202,0.019199,3.045457
occrate_avgocc_coursenumber_dow_hod_tutorium_test_cancelled_type_registered,2,0.014452,2.294292,0.001819,46.53334,0.018696,2.967695
occrate_avgocc_coursenumber_dow_hod_tutorium_test_cancelled_type_registered,3,0.014836,2.356435,0.001904,48.7728,0.01921,3.050396
occrate_avgocc_coursenumber_dow_hod_tutorium_test_cancelled_type_registered,4,0.014655,2.326315,0.001934,49.434586,0.019057,3.025068
occrate_avgocc_coursenumber_dow_hod_tutorium_test_cancelled_type_registered_lecture,0,0.01549,2.458426,0.002115,54.053974,0.01993,3.161749
occrate_avgocc_coursenumber_dow_hod_tutorium_test_cancelled_type_registered_lecture,1,0.014996,2.377031,0.001901,48.494293,0.019521,3.094949
occrate_avgocc_coursenumber_dow_hod_tutorium_test_cancelled_type_registered_lecture,2,0.015997,2.529864,0.002089,52.879288,0.020437,3.232318
occrate_avgocc_coursenumber_dow_hod_tutorium_test_cancelled_type_registered_lecture,3,0.015103,2.396812,0.001958,49.98507,0.019478,3.089164
