in_support_count,out_support_count,sensor_one_support_count,sensor_two_support_count,room_id,door_id,event_type,datetime
27,0,69,48,0,0,1,2024-04-08 13:46:42
35,0,101,165,0,0,1,2024-04-08 13:46:45
18,0,52,40,0,0,1,2024-04-08 13:47:27
11,0,45,52,0,0,1,2024-04-08 13:47:29
12,0,146,144,0,1,1,2024-04-08 13:48:35
11,0,64,59,0,0,1,2024-04-08 13:49:13
13,0,219,220,0,0,1,2024-04-08 13:49:16
0,30,55,59,0,0,0,2024-04-08 14:40:00
11,0,12,15,0,0,1,2024-04-08 14:43:11
6,0,64,56,0,0,1,2024-04-08 14:43:12
0,21,63,60,0,0,0,2024-04-08 15:04:35
0,6,19,16,0,0,0,2024-04-08 15:04:39
0,33,72,89,0,0,0,2024-04-08 15:04:46
0,6,21,22,0,0,0,2024-04-08 15:04:48
0,8,67,62,0,0,0,2024-04-08 15:04:51
0,1,48,51,0,1,0,2024-04-08 15:04:55
0,2,44,42,0,1,0,2024-04-08 15:04:58
0,7,29,33,0,1,0,2024-04-08 15:04:59
0,29,66,81,0,0,0,2024-04-08 15:05:06
0,10,81,85,0,1,0,2024-04-08 15:05:07
0,11,62,59,0,1,0,2024-04-08 15:05:09
0,27,52,75,0,1,0,2024-04-08 15:05:10
7,0,84,84,0,0,1,2024-04-08 15:05:11
18,0,57,48,0,0,1,2024-04-08 15:05:13
0,9,53,60,0,1,0,2024-04-08 15:05:26
0,9,37,43,0,1,0,2024-04-08 15:05:27
0,8,25,34,0,1,0,2024-04-08 15:05:28
0,60,65,104,0,0,0,2024-04-08 15:05:29
0,4,28,28,0,1,0,2024-04-08 15:05:30
0,14,57,58,0,0,0,2024-04-08 15:05:31
0,10,25,26,0,1,0,2024-04-08 15:05:35
0,12,59,66,0,1,0,2024-04-08 15:05:43
0,7,33,35,0,1,0,2024-04-08 15:05:48
0,35,68,85,0,0,0,2024-04-08 15:06:21
0,8,42,45,0,1,0,2024-04-08 15:06:24
0,8,34,33,0,1,0,2024-04-08 15:06:25
0,6,41,43,0,1,0,2024-04-08 15:06:26
0,26,103,106,1,0,0,2024-04-08 15:06:41
0,39,87,103,0,0,0,2024-04-08 15:08:29
0,14,55,56,0,0,0,2024-04-08 15:08:31
0,27,93,97,1,0,0,2024-04-08 15:12:35
0,16,35,35,1,0,0,2024-04-08 15:13:04
0,11,52,32,1,0,0,2024-04-08 15:13:06
0,21,90,93,1,0,0,2024-04-08 15:13:30
0,10,40,38,1,0,0,2024-04-08 15:13:35
0,6,20,19,1,0,0,2024-04-08 15:13:37
0,5,50,47,1,0,0,2024-04-08 15:13:38
0,31,87,94,1,0,0,2024-04-08 15:14:02
0,8,26,26,1,0,0,2024-04-08 15:14:06
0,22,42,50,0,0,0,2024-04-08 15:15:14
0,22,75,72,1,0,0,2024-04-08 15:15:50
0,15,85,87,1,0,0,2024-04-08 15:15:52
20,0,29,20,1,0,1,2024-04-08 15:17:00
8,0,20,25,1,0,1,2024-04-08 15:17:02
23,0,39,34,1,0,1,2024-04-08 15:18:36
21,0,78,75,1,0,1,2024-04-08 15:18:38
7,0,17,18,1,0,1,2024-04-08 15:19:15
6,0,27,33,1,0,1,2024-04-08 15:19:17
22,0,76,66,1,0,1,2024-04-08 15:19:19
9,0,26,50,1,0,1,2024-04-08 15:19:28
7,0,28,34,1,0,1,2024-04-08 15:19:33
21,0,91,105,0,0,1,2024-04-08 15:19:51
0,12,30,27,1,0,0,2024-04-08 15:20:42
0,5,21,18,1,0,0,2024-04-08 15:20:44
27,0,150,138,0,0,1,2024-04-08 15:20:53
10,0,42,37,0,0,1,2024-04-08 15:20:55
18,0,107,106,0,0,1,2024-04-08 15:20:57
0,10,20,23,1,0,0,2024-04-08 15:21:07
20,0,65,57,1,0,1,2024-04-08 15:21:13
7,0,49,46,0,1,1,2024-04-08 15:21:26
8,0,43,40,0,1,1,2024-04-08 15:21:28
4,0,53,52,0,1,1,2024-04-08 15:21:29
7,0,43,44,0,1,1,2024-04-08 15:21:38
7,0,39,38,0,1,1,2024-04-08 15:21:40
