datetime,occcount,occrate,occcountdiff,occratediff,exam,test,tutorium,maxocccount,maxoccrate,lecturerampafterregistered,coursenumber,lecture,lecturerampbefore,VL,UE,KS,hod1,hod2,dow1,dow2,week1,week2,holiday,zwickltag,occcount1week,occrate1week,occrate1day,occcount1day,occcountdiff1week,occcountdiff1day,occratediff1week,occratediff1day
2024-04-08 10:30:00,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0,,0,0,0,0,0,0.3826834323650899,-0.9238795325112867,0.0,1.0,0.9709418174260521,-0.2393156642875575,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2024-04-08 10:45:00,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0,,0,0,0,0,0,0.32143946530316175,-0.9469301294951056,0.0,1.0,0.9709418174260521,-0.2393156642875575,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2024-04-08 11:00:00,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0,,0,0,0,0,0,0.258819045102521,-0.9659258262890682,0.0,1.0,0.9709418174260521,-0.2393156642875575,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2024-04-08 11:15:00,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0,,0,0,0,0,0,0.1950903220161286,-0.9807852804032304,0.0,1.0,0.9709418174260521,-0.2393156642875575,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2024-04-08 11:30:00,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0,,0,0,0,0,0,0.13052619222005157,-0.9914448613738104,0.0,1.0,0.9709418174260521,-0.2393156642875575,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2024-04-08 11:45:00,3.0,0.018292682926829267,3.0,0.018292682926829267,0,0,0,62,0.3780487804878049,0,,0,0,0,0,0,0.06540312923014312,-0.9978589232386035,0.0,1.0,0.9709418174260521,-0.2393156642875575,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2024-04-08 12:00:00,48.0,0.2926829268292683,45.0,0.274390243902439,0,0,0,62,0.3780487804878049,0,258.410,1,0,1,0,0,1.2246467991473532e-16,-1.0,0.0,1.0,0.9709418174260521,-0.2393156642875575,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2024-04-08 12:15:00,61.0,0.3719512195121951,13.0,0.07926829268292684,0,0,0,62,0.3780487804878049,0,258.410,1,0,1,0,0,-0.06540312923014287,-0.9978589232386035,0.0,1.0,0.9709418174260521,-0.2393156642875575,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2024-04-08 12:30:00,61.0,0.3719512195121951,0.0,0.0,0,0,0,62,0.3780487804878049,0,258.410,1,0,1,0,0,-0.13052619222005177,-0.9914448613738104,0.0,1.0,0.9709418174260521,-0.2393156642875575,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2024-04-08 12:45:00,62.0,0.3780487804878049,1.0,0.0060975609756097615,0,0,0,62,0.3780487804878049,0,258.410,1,0,1,0,0,-0.19509032201612836,-0.9807852804032304,0.0,1.0,0.9709418174260521,-0.2393156642875575,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2024-04-08 13:00:00,61.0,0.3719512195121951,-1.0,-0.0060975609756097615,0,0,0,62,0.3780487804878049,0,258.410,1,0,1,0,0,-0.25881904510252035,-0.9659258262890684,0.0,1.0,0.9709418174260521,-0.2393156642875575,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2024-04-08 13:15:00,59.0,0.3597560975609756,-2.0,-0.012195121951219523,0,0,0,62,0.3780487804878049,0,258.410,1,0,1,0,0,-0.32143946530316153,-0.9469301294951057,0.0,1.0,0.9709418174260521,-0.2393156642875575,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2024-04-08 13:30:00,10.0,0.06097560975609756,-49.0,-0.29878048780487804,0,0,0,31,0.18902439024390244,0,258.410,1,0,1,0,0,-0.38268343236508967,-0.9238795325112868,0.0,1.0,0.9709418174260521,-0.2393156642875575,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2024-04-08 13:45:00,22.0,0.13414634146341464,12.0,0.07317073170731708,0,0,0,31,0.18902439024390244,0,136.309,1,0,1,0,0,-0.4422886902190011,-0.8968727415326884,0.0,1.0,0.9709418174260521,-0.2393156642875575,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2024-04-08 14:00:00,30.0,0.18292682926829268,8.0,0.04878048780487804,0,0,0,31,0.18902439024390244,0,136.309,1,0,1,0,0,-0.5000000000000001,-0.8660254037844386,0.0,1.0,0.9709418174260521,-0.2393156642875575,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2024-04-08 14:15:00,30.0,0.18292682926829268,0.0,0.0,0,0,0,31,0.18902439024390244,0,136.309,1,0,1,0,0,-0.555570233019602,-0.8314696123025455,0.0,1.0,0.9709418174260521,-0.2393156642875575,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2024-04-08 14:30:00,30.0,0.18292682926829268,0.0,0.0,0,0,0,31,0.18902439024390244,0,136.309,1,0,1,0,0,-0.6087614290087203,-0.7933533402912354,0.0,1.0,0.9709418174260521,-0.2393156642875575,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2024-04-08 14:45:00,31.0,0.18902439024390244,1.0,0.0060975609756097615,0,0,0,31,0.18902439024390244,0,136.309,1,0,1,0,0,-0.6593458151000688,-0.7518398074789775,0.0,1.0,0.9709418174260521,-0.2393156642875575,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2024-04-08 15:00:00,31.0,0.18902439024390244,0.0,0.0,0,0,0,31,0.18902439024390244,0,136.309,1,0,1,0,0,-0.7071067811865475,-0.7071067811865477,0.0,1.0,0.9709418174260521,-0.2393156642875575,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2024-04-08 15:15:00,6.0,0.036585365853658534,-25.0,-0.1524390243902439,0,0,0,33,0.20121951219512196,0,136.309,1,0,1,0,0,-0.7518398074789773,-0.6593458151000691,0.0,1.0,0.9709418174260521,-0.2393156642875575,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2024-04-08 15:30:00,33.0,0.20121951219512196,27.0,0.16463414634146342,0,0,0,33,0.20121951219512196,0,238.213,1,0,0,0,1,-0.7933533402912349,-0.6087614290087209,0.0,1.0,0.9709418174260521,-0.2393156642875575,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2024-04-08 15:45:00,33.0,0.20121951219512196,0.0,0.0,0,0,0,33,0.20121951219512196,0,238.213,1,0,0,0,1,-0.8314696123025452,-0.5555702330196022,0.0,1.0,0.9709418174260521,-0.2393156642875575,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2024-04-08 16:00:00,32.0,0.1951219512195122,-1.0,-0.0060975609756097615,0,0,0,33,0.20121951219512196,0,238.213,1,0,0,0,1,-0.8660254037844384,-0.5000000000000004,0.0,1.0,0.9709418174260521,-0.2393156642875575,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2024-04-08 16:15:00,28.0,0.17073170731707318,-4.0,-0.02439024390243902,0,0,0,33,0.20121951219512196,0,238.213,1,0,0,0,1,-0.8968727415326883,-0.44228869021900136,0.0,1.0,0.9709418174260521,-0.2393156642875575,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2024-04-08 16:30:00,1.0,0.006097560975609756,-27.0,-0.16463414634146342,0,0,0,33,0.20121951219512196,0,238.213,1,0,0,0,1,-0.9238795325112865,-0.38268343236509034,0.0,1.0,0.9709418174260521,-0.2393156642875575,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
