IK,KS,KV,RE,UE,UV,VL,VO,VU,calendarweek,calendarweek1,calendarweek2,coursenumber,exam,occount,occrate,registered,roomid,starttime,starttime1,starttime2,test,tutorium,weekday,weekday1,weekday2
0,0,0,0,1,0,0,0,0,21,0.5680647467311558,-0.8229838658936564,365.232,False,0,0,46,1,2024-05-22 14:30:00,-0.6087614290087203,-0.7933533402912354,False,False,Mi.,0.9749279121818236,-0.22252093395631434
0,0,0,0,0,0,1,0,0,21,0.5680647467311558,-0.8229838658936564,371.000,False,0,0,148,0,2024-05-23 08:30:00,0.7933533402912352,-0.6087614290087207,False,False,Do.,0.43388373911755823,-0.900968867902419
0,0,0,0,0,0,1,0,0,21,0.5680647467311558,-0.8229838658936564,358.001,False,0,0,236,1,2024-05-23 08:30:00,0.7933533402912352,-0.6087614290087207,False,False,Do.,0.43388373911755823,-0.900968867902419
0,0,0,0,0,1,0,0,0,21,0.5680647467311558,-0.8229838658936564,531.242,False,0,0,28,1,2024-05-23 13:45:00,-0.4422886902190011,-0.8968727415326884,False,False,Do.,0.43388373911755823,-0.900968867902419
0,0,0,0,0,1,0,0,0,21,0.5680647467311558,-0.8229838658936564,531.241,False,0,0,20,1,2024-05-23 13:45:00,-0.4422886902190011,-0.8968727415326884,False,False,Do.,0.43388373911755823,-0.900968867902419
0,0,0,0,0,1,0,0,0,21,0.5680647467311558,-0.8229838658936564,531.240,False,0,0,60,1,2024-05-23 13:45:00,-0.4422886902190011,-0.8968727415326884,False,False,Do.,0.43388373911755823,-0.900968867902419
0,0,0,0,0,1,0,0,0,21,0.5680647467311558,-0.8229838658936564,531.240,False,0,0,60,1,2024-05-23 14:30:00,-0.6087614290087203,-0.7933533402912354,False,False,Do.,0.43388373911755823,-0.900968867902419
0,0,0,0,0,1,0,0,0,21,0.5680647467311558,-0.8229838658936564,531.241,False,0,0,20,0,2024-05-23 15:30:00,-0.7933533402912349,-0.6087614290087209,True,False,Do.,0.43388373911755823,-0.900968867902419
0,0,0,0,0,1,0,0,0,21,0.5680647467311558,-0.8229838658936564,531.242,False,0,0,28,0,2024-05-23 15:30:00,-0.7933533402912349,-0.6087614290087209,True,False,Do.,0.43388373911755823,-0.900968867902419
0,0,0,0,0,1,0,0,0,21,0.5680647467311558,-0.8229838658936564,531.240,False,0,0,60,0,2024-05-23 15:30:00,-0.7933533402912349,-0.6087614290087209,True,False,Do.,0.43388373911755823,-0.900968867902419
0,0,0,0,0,0,0,1,0,21,0.5680647467311558,-0.8229838658936564,339.170,False,0,0,216,1,2024-05-23 15:30:00,-0.7933533402912349,-0.6087614290087209,False,False,Do.,0.43388373911755823,-0.900968867902419
0,0,1,0,0,0,0,0,0,21,0.5680647467311558,-0.8229838658936564,190.300,False,0,0,118,1,2024-05-23 17:15:00,-0.9807852804032303,-0.19509032201612866,False,False,Do.,0.43388373911755823,-0.900968867902419
0,0,0,0,1,0,0,0,0,21,0.5680647467311558,-0.8229838658936564,362.064,False,0,0,20,1,2024-05-24 08:30:00,0.7933533402912352,-0.6087614290087207,False,False,Fr.,-0.433883739117558,-0.9009688679024191
