course_number,room,start_time,end_time,room_capacity,note
362.065,HS 19,2024-05-24 10:15:00,2024-05-24 11:45:00,152,Synchronmaschine 1 (Krainer)
362.066,HS 19,2024-05-24 12:45:00,2024-05-24 14:30:00,152,Synchronmaschine 1 (Krainer)
367.144,HS 18,2024-05-27 08:30:00,2024-05-27 11:45:00,164,"Klausur von 10-11 Uhr, online"
367.145,HS 18,2024-05-27 08:30:00,2024-05-27 11:45:00,164,"Klausur von 10-11 Uhr, online"
238.302,HS 19,2024-05-27 10:15:00,2024-05-27 11:45:00,152,
258.410,HS 18,2024-05-27 12:00:00,2024-05-27 13:30:00,164,Text Mining and Natural Language Processing
231.115,HS 19,2024-05-27 12:00:00,2024-05-27 13:30:00,152,
136.309,HS 18,2024-05-27 13:45:00,2024-05-27 15:15:00,164,
190.035,HS 19,2024-05-27 13:45:00,2024-05-27 15:15:00,152,
238.213,HS 18,2024-05-27 15:30:00,2024-05-27 17:00:00,164,
360.001,HS 18,2024-05-27 17:15:00,2024-05-27 18:45:00,164,Tutorium
361.001,HS 18,2024-05-28 08:30:00,2024-05-28 10:00:00,164,
366.560,HS 19,2024-05-28 08:30:00,2024-05-28 10:00:00,152,
360.001,HS 19,2024-05-28 10:15:00,2024-05-28 11:45:00,152,
382.037,HS 19,2024-05-28 12:00:00,2024-05-28 15:15:00,152,
364.000,HS 18,2024-05-28 13:45:00,2024-05-28 15:15:00,164,Volume Rendering
340.400,HS 18,2024-05-28 15:30:00,2024-05-28 17:00:00,164,
327.029,HS 19,2024-05-29 08:30:00,2024-05-29 10:00:00,152,
371.000,HS 18,2024-05-29 08:30:00,2024-05-29 10:00:00,164,
531.170,HS 18,2024-05-29 10:15:00,2024-05-29 11:45:00,164,
325.004,HS 18,2024-05-29 10:15:00,2024-05-29 11:45:00,164,
327.029,HS 19,2024-05-29 10:15:00,2024-05-29 11:45:00,152,
259.022,HS 19,2024-05-29 12:00:00,2024-05-29 14:30:00,152,"Message-Based, Event-Based, SOA"
258.300,HS 18,2024-05-29 12:00:00,2024-05-29 13:30:00,164,"KBS: Constraint Satisfaction,  Artificial Neural Nets"
365.232,HS 19,2024-05-29 14:30:00,2024-05-29 15:15:00,152,
257.211,HS 18,2024-05-29 15:30:00,2024-05-29 17:00:00,164,
257.214,HS 18,2024-05-29 15:30:00,2024-05-29 17:00:00,164,
257.213,HS 18,2024-05-29 15:30:00,2024-05-29 17:00:00,164,
256.600,HS 18,2024-05-29 17:15:00,2024-05-29 18:45:00,164,"Gastreferent Mag. Böhm / Fallstudie im Kontext des Kapitels ""Media Ecology"""
238.302,HS 19,2024-06-03 10:15:00,2024-06-03 11:45:00,152,
258.410,HS 18,2024-06-03 12:00:00,2024-06-03 13:30:00,164,Web and Graph Mining
231.115,HS 19,2024-06-03 12:00:00,2024-06-03 13:30:00,152,
190.035,HS 19,2024-06-03 13:45:00,2024-06-03 15:15:00,152,
136.309,HS 18,2024-06-03 13:45:00,2024-06-03 15:15:00,164,
238.213,HS 18,2024-06-03 15:30:00,2024-06-03 17:00:00,164,
150.005,HS 19,2024-06-03 15:30:00,2024-06-03 18:45:00,152,
360.001,HS 18,2024-06-03 17:15:00,2024-06-03 18:45:00,164,Tutorium
361.001,HS 18,2024-06-04 08:30:00,2024-06-04 10:00:00,164,
366.560,HS 19,2024-06-04 08:30:00,2024-06-04 10:00:00,152,
360.001,HS 19,2024-06-04 10:15:00,2024-06-04 11:45:00,152,
340.100,HS 18,2024-06-04 10:15:00,2024-06-04 11:45:00,164,
259.002,HS 18,2024-06-04 12:00:00,2024-06-04 13:30:00,164,"Präsenztermin, Video Einheit: Bibliotheken III"
382.037,HS 19,2024-06-04 12:00:00,2024-06-04 15:15:00,152,
364.000,HS 18,2024-06-04 13:45:00,2024-06-04 15:15:00,164,Scientific Data Visualization
229.054,HS 19,2024-06-04 15:30:00,2024-06-04 18:00:00,152,
371.000,HS 18,2024-06-05 08:30:00,2024-06-05 10:00:00,164,
269.031,HS 19,2024-06-05 10:15:00,2024-06-05 11:45:00,152,Klausur
325.004,HS 18,2024-06-05 10:15:00,2024-06-05 11:45:00,164,
531.170,HS 18,2024-06-05 10:15:00,2024-06-05 11:45:00,164,
269.035,HS 19,2024-06-05 10:15:00,2024-06-05 11:45:00,152,Klausur
258.300,HS 18,2024-06-05 12:00:00,2024-06-05 13:30:00,164,WebIS: Semantic Web
259.022,HS 19,2024-06-05 12:00:00,2024-06-05 14:30:00,152,"REST, Microservice Architecture"
365.232,HS 19,2024-06-05 14:30:00,2024-06-05 15:15:00,152,
371.000,HS 18,2024-06-06 08:30:00,2024-06-06 10:00:00,164,
358.001,HS 19,2024-06-06 08:30:00,2024-06-06 10:00:00,152,
327.029,HS 19,2024-06-06 10:15:00,2024-06-06 11:45:00,152,Tutorium (diese Woche keine VL)
531.120,HS 18,2024-06-06 10:15:00,2024-06-06 11:45:00,164,
531.120,HS 18,2024-06-06 12:00:00,2024-06-06 13:30:00,164,Tutorium / Fragestunde
531.241,HS 19,2024-06-06 13:45:00,2024-06-06 14:30:00,152,
531.242,HS 19,2024-06-06 13:45:00,2024-06-06 14:30:00,152,
531.208,HS 18,2024-06-06 13:45:00,2024-06-06 15:15:00,164,
531.240,HS 19,2024-06-06 13:45:00,2024-06-06 14:30:00,152,
531.240,HS 19,2024-06-06 14:30:00,2024-06-06 15:15:00,152,
339.170,HS 19,2024-06-06 15:30:00,2024-06-06 17:00:00,152,
339.350,HS 18,2024-06-06 15:30:00,2024-06-06 17:00:00,164,Klausur
190.300,HS 19,2024-06-06 17:15:00,2024-06-06 19:45:00,152,Datenschutz
359.022,HS 19,2024-06-07 10:15:00,2024-06-07 11:45:00,152,
359.020,HS 19,2024-06-07 10:15:00,2024-06-07 11:45:00,152,
359.024,HS 19,2024-06-07 10:15:00,2024-06-07 11:45:00,152,
383.028,HS 19,2024-06-07 12:00:00,2024-06-07 13:30:00,152,
368.190,HS 19,2024-06-10 08:30:00,2024-06-10 10:00:00,152,
