features,run_id,test_loss,val_loss
occrate_avgocc_coursenumber_dow_tutorium_test_cancelled_type_lecture_studyarea,4,0.015828,0.008654
occrate_avgocc_coursenumber_dow_tutorium_test_cancelled_type_registered,0,0.015806,0.008599
occrate_avgocc_coursenumber_dow_tutorium_test_cancelled_type_registered,1,0.014755,0.008373
occrate_avgocc_coursenumber_dow_tutorium_test_cancelled_type_registered,2,0.015158,0.008189
occrate_avgocc_coursenumber_dow_tutorium_test_cancelled_type_registered,3,0.01548,0.008408
occrate_avgocc_coursenumber_dow_tutorium_test_cancelled_type_registered,4,0.014687,0.008457
occrate_avgocc_coursenumber_dow_tutorium_test_cancelled_type_registered_lecture,0,0.015187,0.008344
occrate_avgocc_coursenumber_dow_tutorium_test_cancelled_type_registered_lecture,1,0.016909,0.008549
occrate_avgocc_coursenumber_dow_tutorium_test_cancelled_type_registered_lecture,2,0.014831,0.008444
occrate_avgocc_coursenumber_dow_tutorium_test_cancelled_type_registered_lecture,3,0.015209,0.008121
occrate_avgocc_coursenumber_dow_tutorium_test_cancelled_type_registered_lecture,4,0.015361,0.008578
occrate_avgocc_coursenumber_dow_tutorium_test_cancelled_type_registered_lecture_studyarea,0,0.015695,0.008989
occrate_avgocc_coursenumber_dow_tutorium_test_cancelled_type_registered_lecture_studyarea,1,0.016504,0.008499
occrate_avgocc_coursenumber_dow_tutorium_test_cancelled_type_registered_lecture_studyarea,2,0.015142,0.008889
occrate_avgocc_coursenumber_dow_tutorium_test_cancelled_type_registered_lecture_studyarea,3,0.015557,0.008885
occrate_avgocc_coursenumber_dow_tutorium_test_cancelled_type_registered_lecture_studyarea,4,0.016872,0.008592
occrate_avgocc_coursenumber_dow_tutorium_test_cancelled_type_registered_studyarea,0,0.015669,0.008841
occrate_avgocc_coursenumber_dow_tutorium_test_cancelled_type_registered_studyarea,1,0.015071,0.009045
occrate_avgocc_coursenumber_dow_tutorium_test_cancelled_type_registered_studyarea,2,0.017379,0.008992
occrate_avgocc_coursenumber_dow_tutorium_test_cancelled_type_registered_studyarea,3,0.017123,0.008579
occrate_avgocc_coursenumber_dow_tutorium_test_cancelled_type_registered_studyarea,4,0.015846,0.008651
occrate_avgocc_coursenumber_dow_tutorium_test_cancelled_type_studyarea,0,0.015709,0.00853
occrate_avgocc_coursenumber_dow_tutorium_test_cancelled_type_studyarea,1,0.016944,0.008391
occrate_avgocc_coursenumber_dow_tutorium_test_cancelled_type_studyarea,2,0.015151,0.008765
occrate_avgocc_coursenumber_dow_tutorium_test_cancelled_type_studyarea,3,0.017222,0.008475
occrate_avgocc_coursenumber_dow_tutorium_test_cancelled_type_studyarea,4,0.015716,0.008903
occrate_avgocc_coursenumber_dow_type,0,0.016527,0.008389
occrate_avgocc_coursenumber_dow_type,1,0.016933,0.008445
occrate_avgocc_coursenumber_dow_type,2,0.016683,0.008365
occrate_avgocc_coursenumber_dow_type,3,0.016833,0.008567
occrate_avgocc_coursenumber_dow_type,4,0.016139,0.008579
occrate_avgocc_coursenumber_dow_type_lecture,0,0.016913,0.008659
occrate_avgocc_coursenumber_dow_type_lecture,1,0.015793,0.008368
occrate_avgocc_coursenumber_dow_type_lecture,2,0.016883,0.008768
occrate_avgocc_coursenumber_dow_type_lecture,3,0.01593,0.00867
